"","Plot","1/23/2021","1/30/2021","10/10/2021","10/23/2021","11/27/2021","11/7/2021","12/11/2021","12/28/2021","2/18/2021","2/27/2021","3/13/2021","3/27/2021","4/17/2021","4/3/2021","5/15/2021","5/31/2021","6/10/2021","6/28/2021","7/11/2021","7/31/2021","8/16/2021","8/30/2021","9/12/2021","9/27/2021"
"1","1. Edgewood",2.06206954130016,1.67698777432242,1.6094379124341,2.47707283133528,2.04319187054512,2.06111283257959,1.52295506753132,0.673011667009257,1.92512119079082,2.22002532783454,2.06920246582036,2.19684136894357,1.90172622657598,2.55682716790095,1.63043258262889,1.78385396035562,1.88975187098931,2.39726686597818,2.20710796774982,1.67153080177914,1.33373602720281,2.30633627050749,1.32088834314932,2.30258509299405
"2","10. Historic III",1.78510381471583,1.73512645696292,0.636514168294813,2.09814738913507,1.97300140639361,1.33217904021012,1.05492016798614,2.27186851269656,1.05492016798614,1.98673164880819,1.32966134885476,1.73512645696292,1.83102048111352,2.30565733829864,1.03972077083992,1.88915916375402,1.84622021932163,1.03972077083992,1.27703425946614,1.56071040904141,1.67698777432242,1.84688912326104,1.93846500603545,1.16222554492109
"3","11. Historic IV",1.47080847632211,0.598269588585257,1.31078367809971,1.6094379124341,0.636514168294813,1.56071040904141,0.636514168294813,1.74786809746676,1.93380999892063,1.5498260458782,1.33217904021012,2.24792773074914,1.99150936135661,2.1375031130414,1.73798344858705,2.23269447718707,1.87056888941564,1.73286795139986,1.09861228866811,1.7045514452673,0.636514168294813,0.636514168294813,1.15374194270109,1.35178399428965
"4","12. North Ridge",1.69574253416963,1.56071040904141,1.35168119468589,1.73286795139986,1.32088834314932,1.99150936135661,1.27703425946614,0,2.1116308425056,2.30201410308591,1.92512119079082,2.12447507956612,1.83437197028162,1.88759203792474,2.04888282790134,1.5498260458782,2.12916447348805,2.02804676777597,1.87116041423181,0.693147180559945,1.41427906512471,1.50478828368119,2.20515510119946,1.89892678933633
"5","13. Medical",1.03972077083992,1.73286795139986,1.06085694715802,1.36892236074022,0,1.35178399428965,0.636514168294813,0,1.242453324894,1.47507631105469,1.03972077083992,1.55958115625988,1.6094379124341,2.19722457733622,1.90728399932138,1.66746193342929,1.47080847632211,1.21538810108361,1.58678470752805,1.56071040904141,0.636514168294813,0.636514168294813,1.52295506753132,1.03972077083992
"6","2. Fairy Gates",1.62602069242075,1.32966134885476,1.08889997534522,2.28777322916228,1.97920451743432,1.6094379124341,1.06085694715802,1.73476452102578,2.00288304109065,1.88915916375402,1.38629436111989,2.08708529460374,1.49417513828931,2.02622962299529,1.74815545724768,1.54030582522652,1.49417513828931,2.00755630743784,1.73798344858705,1.67262544615032,0.636514168294813,1.55711309805765,1.09861228866811,2.26404926016656
"7","3. East Ridge",1.52295506753132,1.83378554682005,1.03972077083992,1.90615474653985,1.69574253416963,1.74806734854609,1.05492016798614,1.00424247305408,1.72019345921982,0.983600299523093,0.867563228481461,1.99150936135661,1.66746193342929,1.66746193342929,1.72019345921983,1.66094743328692,1.63263092715435,1.76700919107457,1.93380999892063,1.66746193342929,1.47080847632211,0.950270539233235,1.00424247305408,1.35923670066501
"8","4. Mystery",1.64173471218752,2.00008522149066,1.3667110520552,2.29125534175972,1.47080847632211,1.50478828368119,1.56071040904141,1.33217904021012,2.09929279993392,1.04418684831137,2.04319187054512,2.15132207992127,1.83102048111352,2.27186851269656,1.73286795139986,2.31957499667359,2.11864924706995,1.7045514452673,1.56071040904141,1.87116041423181,1.6843729712136,1.73265872019921,1.93380999892063,1.81848316301237
"9","5. Summit",1.86902932930962,1.92739212613927,1.52470739303014,2.51052924716203,1.89378823239114,2.08850161933547,1.31078367809971,2.05930602812915,1.83378554682005,2.29311860148681,1.74786809746676,2.39920429620261,2.43079132887823,2.11864924706995,2.08055716002842,2.01252871002633,1.82387331598544,1.83929674797766,1.71408754118701,1.56071040904141,1.94591014905531,1.58325845942048,1.52295506753132,1.83102048111352
"10","6. Nike",1.8446214763655,1.35103941583702,0.950270539233235,1.92512119079082,1.27703425946614,2.29311860148681,1.27703425946614,1.87627358443028,1.63079910458564,1.84622021932163,1.38629436111989,2.18732231884925,1.80951425584928,2.06111283257959,1.67262544615032,1.3667110520552,1.52295506753132,1.89036277533887,1.84139037484597,1.14905969697062,0.693147180559945,0.950270539233235,1.02965301406457,1.86621602358595
"11","7. Quarry",2.02622962299529,2.03773419478515,1.32088834314932,1.99150936135661,1.33217904021012,1.242453324894,1.80951425584928,2.02532622077007,1.69574253416963,1.92512119079082,2.26853509201638,1.97018144002608,1.73286795139986,2.39470040585833,1.69201980790846,1.80951425584928,1.72019345921983,1.67262544615032,1.56071040904141,1.09861228866811,1.55958115625988,1.55958115625988,0.950270539233235,1.2130075659799
"12","8. Historic I",1.6094379124341,1.74786809746676,0.636514168294813,1.82007597536062,1.09861228866811,2.40615957539782,0.562335144618808,1.09861228866811,1.5498260458782,1.73286795139986,1.38629436111989,1.97920451743432,1.50478828368119,2.06111283257959,1.6094379124341,2.10657733323212,1.67698777432242,1.56071040904141,0.562335144618808,1.03972077083992,1.242453324894,1.43770144364294,1.87116041423181,1.73512645696292
"13","9. Historic II",1.52295506753132,1.41427906512471,1.01140426470735,1.32966134885476,0.950270539233235,1.59416669911802,1.31078367809971,1.38629436111989,1.96009513512456,2.16608493924983,1.242453324894,1.95125950414396,1.56071040904141,2.00755630743784,1.00424247305408,2.21106887114461,1.67623493913473,1.09861228866811,1.5498260458782,1.32966134885476,1.05492016798614,0.693147180559945,1.84688912326104,0.950270539233235
